# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7940   0.6120   0.2275   Upper   B v -> Y ^    g133796
0.6695   0.6120   0.2102   Upper   A ^ -> Y v    g133796
0.7145   0.6120   0.2133   Upper   A ^ -> Y v    g133798
0.8025   0.6120   0.2347   Upper   B v -> Y ^    g133800
0.6611   0.6120   0.2153   Upper   A ^ -> Y v    g133800
0.6271   0.6120   0.2118   Upper   B ^ -> Y v    g133833
0.8278   0.6120   0.2430   Upper   A v -> Y ^    g133833
0.6617   0.6120   0.2239   Upper   B ^ -> Y v    g133826
0.8215   0.6120   0.2324   Upper   B v -> Y ^    g133840
0.6697   0.6120   0.2144   Upper   A ^ -> Y v    g133828
0.8448   0.6120   0.3113   Upper   A v -> Y ^    g75734__6260
0.6149   0.6120   0.2272   Upper   A1 v -> Y ^    g133819
0.6560   0.6120   0.2331   Upper   A1 v -> Y ^    g133817
0.6417   0.6120   0.2243   Upper   A1 v -> Y ^    g133816
0.6789   0.6120   0.2318   Upper   A1 v -> Y ^    g133807
0.6389   0.6120   0.1636   Upper   A0 ^ -> Y v    g133811
0.6796   0.6120   0.1768   Upper   A0 ^ -> Y v    g133814
0.7145   0.6120   0.1973   Upper   A1 ^ -> Y v    g133810
0.6695   0.6120   0.1901   Upper   A1 ^ -> Y v    g133815
0.7940   0.6120   0.2387   Upper   A0 v -> Y ^    g133815
0.6611   0.6120   0.1824   Upper   A1 ^ -> Y v    g133813
0.8025   0.6120   0.2328   Upper   A0 v -> Y ^    g133813
0.6271   0.6120   0.1858   Upper   A1 ^ -> Y v    g133824
0.8278   0.6120   0.2495   Upper   A0 v -> Y ^    g133824
0.6617   0.6120   0.1864   Upper   A1 ^ -> Y v    g133812
0.8215   0.6120   0.2573   Upper   A0 v -> Y ^    g133818
0.6697   0.6120   0.1809   Upper   A1 ^ -> Y v    g133825
0.8067   0.6120   0.2221   Upper   A v -> Y ^    g132970
0.0069   0.0168   0.5592   Lower   A v -> Y ^    g133900
0.6149   0.6120   0.8164   Upper   A1 v -> Y ^    g133310
0.6443   0.6120   0.4320   Upper   B v -> Y ^    g133274
0.6443   0.6120   0.3735   Upper   C v -> Y ^    g133179
0.7925   0.6120   0.2012   Upper   A2 v -> Y ^    g133078
0.7313   0.6120   0.2993   Upper   A0 ^ -> Y v    g132941
0.7925   0.6120   0.2651   Upper   D v -> Y ^    g133512
0.7925   0.6120   0.2008   Upper   A2 v -> Y ^    g133080
0.7925   0.6120   0.2028   Upper   A2 v -> Y ^    g133076
